Date,Time_24hr,Lat,Lon,Alt,Rel_Alt
10/19/2016,14:01:36,.7409,.-6354,.110,.110,
10/19/2016,14:01:37,.7526,.-6449,.30,.30,
10/19/2016,14:01:37,.7654,.-6554,.80,.80,
10/19/2016,14:01:37,.7751,.-6633,.-30,.-30,
10/19/2016,14:01:38,.7906,.-6760,.40,.40,
10/19/2016,14:01:38,.8010,.-6846,.-20,.-20,
10/19/2016,14:01:39,.8115,.-6933,.-10,.-10,
10/19/2016,14:01:39,.8227,.-7025,.60,.60,
10/19/2016,14:01:43,.8390,.-7160,.-40,.-40,
10/19/2016,14:01:45,.8983,.-7657,.-60,.-60,
10/19/2016,14:01:47,.9381,.-7995,.-40,.-40,
10/19/2016,14:01:49,.9871,.-8415,.-70,.-70,
10/19/2016,14:01:51,.10443,.-8911,-.230,-.229,
10/19/2016,14:01:53,.11134,.-9515,.-40,.-40,
10/19/2016,14:01:55,33.4677355,-88.7625798,82.820,.30,
10/19/2016,14:01:56,33.4677346,-88.7625796,82.440,.49,
10/19/2016,14:01:58,33.4677344,-88.7625797,81.990,.60,
10/19/2016,14:02:00,33.4677344,-88.7625809,81.810,.-60,
10/19/2016,14:02:02,33.4677354,-88.7625814,81.910,.-30,
10/19/2016,14:02:03,33.4677361,-88.7625818,82.000,.-20,
10/19/2016,14:02:05,33.4677362,-88.7625820,81.960,-.149,
10/19/2016,14:02:06,33.4677360,-88.7625816,82.170,.120,
10/19/2016,14:02:08,33.4677363,-88.7625811,81.980,.49,
10/19/2016,14:02:09,33.4677361,-88.7625808,81.810,.-89,
10/19/2016,14:02:11,33.4677360,-88.7625806,81.820,.-60,
10/19/2016,14:02:12,33.4677359,-88.7625806,81.830,.-40,
10/19/2016,14:02:13,33.4677360,-88.7625806,81.970,.30,
10/19/2016,14:02:14,33.4677359,-88.7625806,82.030,.40,
10/19/2016,14:02:15,33.4677359,-88.7625805,81.910,.-89,
10/19/2016,14:02:15,33.4677359,-88.7625805,82.130,.130,
10/19/2016,14:02:16,33.4677361,-88.7625804,82.220,.199,
10/19/2016,14:02:17,33.4677363,-88.7625804,82.210,.179,
10/19/2016,14:02:18,33.4677362,-88.7625804,82.160,.149,
10/19/2016,14:02:18,33.4677363,-88.7625805,82.100,.70,
10/19/2016,14:02:19,33.4677362,-88.7625805,81.890,-.130,
10/19/2016,14:02:19,33.4677364,-88.7625807,81.940,.-89,
10/19/2016,14:02:20,33.4677363,-88.7625808,81.990,.-60,
10/19/2016,14:02:21,33.4677362,-88.7625807,82.040,.-60,
10/19/2016,14:02:21,33.4677362,-88.7625806,82.100,.-49,
10/19/2016,14:02:22,33.4677364,-88.7625804,82.160,.-20,
10/19/2016,14:02:22,33.4677369,-88.7625802,82.190,.-20,
10/19/2016,14:02:23,33.4677374,-88.7625801,82.200,.0,
10/19/2016,14:02:23,33.4677379,-88.7625799,82.210,.20,
10/19/2016,14:02:24,33.4677384,-88.7625797,82.220,.30,
10/19/2016,14:02:25,33.4677388,-88.7625796,82.230,.20,
10/19/2016,14:02:25,33.4677393,-88.7625795,82.190,.-30,
10/19/2016,14:02:26,33.4677396,-88.7625794,82.200,.-40,
10/19/2016,14:02:26,33.4677398,-88.7625794,82.240,.-20,
10/19/2016,14:02:27,33.4677402,-88.7625795,82.250,.-10,
10/19/2016,14:02:27,33.4677403,-88.7625796,82.230,.-30,
10/19/2016,14:02:31,33.4677355,-88.7625800,82.150,.-40,
10/19/2016,14:02:31,33.4677357,-88.7625798,82.170,.-10,
10/19/2016,14:02:31,33.4677363,-88.7625795,82.130,.-30,
10/19/2016,14:02:32,33.4677370,-88.7625794,82.160,.-10,
10/19/2016,14:02:33,33.4677377,-88.7625791,82.150,.-20,
