siteNum,calPan,bandNum,cirMean,gerWeighted,,,,
149,6,1,116.8225806,16467.22105,,,,
149,22,1,178,55954.82753,,,,
149,44,1,210.7407407,102588.8901,,,,
150,6,1,120.5625,19613.43159,,,,
150,22,1,213.452381,65321.01721,,,,
150,44,1,245.1607143,138419.2635,,,,
153,6,1,125.2978723,11365.31417,,,,
153,22,1,204.9347826,35881.43036,,,,
153,44,1,238.2727273,69512.51361,,,,
154,6,1,83.61363636,15892.64343,,,,
154,22,1,166.2884615,51949.46591,,,,
154,44,1,210.3333333,106514.4571,,,,
155,6,1,146.5789474,16230.78704,,,,
155,22,1,219.8269231,53702.03429,,,,
155,44,1,252,113264.2103,,,,
158,6,1,126.8285714,12649.33304,,,,
158,22,1,212.6190476,52173.29039,,,,
158,44,1,245.3580247,105326.6275,,,,
110,6,1,96.5,18544.66245,,,,
110,22,1,162.1,58150.19335,,,,
110,44,1,199,102915.9108,,,,
115,6,1,137.6666667,33889.38996,,,,
115,22,1,205.0833333,113764.1494,,,,
115,44,1,236.0833333,219651.7002,,,,
121,6,1,177.4,32781.32256,,,,
121,22,1,239.92,111839.6191,,,,
121,44,1,242.28,217443.1284,,,,
122,6,1,156.1428571,35125.74398,,,,
122,22,1,231.2857143,115127.281,,,,
122,44,1,248.4285714,225006.1734,,,,
124,6,1,106.5609756,14673.07864,,,,
124,22,1,180.0238095,46222.5581,,,,
124,44,1,215.2439024,93744.35513,,,,
127,6,1,151.5714286,17205.87848,,,,
127,22,1,214.7857143,59951.52128,,,,
127,44,1,243.2857143,127011.8343,,,,
128,6,1,120.3928571,25615.88505,,,,
128,22,1,186.1428571,81790.55642,,,,
128,44,1,233.5,152312.4075,,,,
129,6,1,163.3461538,27741.454,,,,
129,22,1,223.3461538,93156.4095,,,,
129,44,1,229.8846154,195477.212,,,,
132,6,1,140.0952381,33614.25905,,,,
132,22,1,207.6666667,108953.0471,,,,
132,44,1,232.7619048,193377.3482,,,,
138,6,1,137.8,22188.56312,,,,
138,22,1,201.6,76408.13957,,,,
138,44,1,209.8,159448.6602,,,,
139,6,1,128.7391304,25444.41773,,,,
139,22,1,186.2608696,77492.57127,,,,
139,44,1,206.9130435,156878.6689,,,,
141,6,1,134.7647059,31538.63245,,,,
141,22,1,205.2941176,103441.8054,,,,
141,44,1,218,201467.5739,,,,
142,6,1,164.6,39503.3784,,,,
142,22,1,221.5,129930.3557,,,,
142,44,1,253.6,239742.3289,,,,
145,6,1,128.5833333,42976.75982,,,,
145,22,1,191.1666667,141516.2325,,,,
145,44,1,214.4166667,262677.5392,,,,
147,6,1,139.7692308,32821.71478,,,,
147,22,1,187,106548.7362,,,,
147,44,1,218.5384615,217266.3269,,,,
148,6,1,126.3636364,31776.19912,,,,
148,22,1,201.5454545,103531.4731,,,,
148,44,1,242.9090909,203257.0101,,,,
